Ref number	reference	citations	survey	pipeline	type	comment
372	"Depeng Xu, Yongkai Wu, Shuhan Yuan, Lu Zhang, and Xintao Wu. 2019. Achieving causal fairness through generative adversarial networks. In Proceedings of the 28th International Joint Conference on Artificial Intelligence"	111	hort	pre-processing	sampling	generative
373	"Depeng Xu, Shuhan Yuan, and Xintao Wu. 2019. Achieving differential privacy and fairness in logistic regression. In Proceedings of the World Wide Web Conference. 594–599."	94	hort	in-processing	constraints	
374	"Depeng Xu, Shuhan Yuan, Lu Zhang, and Xintao Wu. 2018. FairGAN: Fairness-aware generative adversarial networks. In Proceedings of the IEEE International Conference on Big Data (Big Data’18). IEEE, 570–575"	357	hort	pre-processing	sampling	generative
375	"Depeng Xu, Shuhan Yuan, Lu Zhang, and Xintao Wu. 2019. FairGAN+: Achieving fair data generation and classification through generative adversarial nets. In Proceedings of the IEEE International Conference on Big Data (Big Data’19). IEEE, 1401–1406"	58	hort	in-processing	adversarial	generative
376	"Shen Yan, Hsien-te Kao, and Emilio Ferrara. 2020. Fair class balancing: Enhancing model fairness without observing sensitive attributes. In Proceedings of the 29th ACM International Conference on Information & Knowledge Management. 1715–1724"	105	hort	pre-processing	sampling	smote_like
377	"Jenny Yang, Andrew A. S. Soltan, Yang Yang, and David A. Clifton. 2022. Algorithmic fairness and bias mitigation for clinical machine learning: Insights from rapid COVID-19 diagnosis by adversarial learning. medRxiv (2022"	16	hort	in-processing	adversarial	
378	"Mehdi Yazdani-Jahromi, AmirArsalan Rajabi, Aida Tayebi, and Ozlem Ozmen Garibay. 2022. Distraction is all you need for fairness. arXiv preprint arXiv:2203.07593 (2022)."	4	hort	in-processing	adversarial	
379	"I-Cheng Yeh and Che-hui Lien. 2009. The comparisons of data mining techniques for the predictive accuracy of probability of default of credit card clients. Expert Syst. Applic. 36, 2 (2009), 2473–2480."	1197	hort			
380	"Xiaoxin Yin and Jiawei Han. 2003. CPAR: Classification based on predictive association rules. In Proceedings of the SIAM International Conference on Data Mining. SIAM, 331–335"	1286	hort			
381	Zhe Yu. 2021. Fair balance: Mitigating machine learning bias against multiple protected attributes with data balancing. CoRRabs/2107.08310 (2021).	9	hort	pre-processing	sampling	reweighing
382	"Mikhail Yurochkin, Amanda Bower, and Yuekai Sun. 2020. Training individually fair ML models with sensitive subspace robustness. In Proceedings of the International Conference on Learning Representations. Retrieved from https://openreview.net/forum?id=B1gdkxHFDH"	135	hort	in-processing	adversarial	
383	Mikhail Yurochkin and Yuekai Sun. 2021. SenSeI: Sensitive set invariance for enforcing individual fairness. In Proceedings of the International Conference on Learning Representations.	63	hort	in-processing	regularisation	
384	"Muhammad Bilal Zafar, Isabel Valera, Manuel Gomez Rodriguez, and Krishna P. Gummadi. 2017. Fairness beyond disparate treatment & disparate impact: Learning classification without disparate mistreatment. In Proceedings of the 26th International Conference on World Wide Web. 1171–1180."	1428	hort	in-processing	constraints	
385	"Muhammad Bilal Zafar, Isabel Valera, Manuel Gomez-Rodriguez, and Krishna P. Gummadi. 2019. Fairness constraints: A flexible approach for fair classification. J. Mach. Learn. Res. 20, 1 (2019), 2737–2778"	428	hort	in-processing	constraints	
386	"Muhammad Bilal Zafar, Isabel Valera, Manuel Gomez Rodriguez, Krishna P. Gummadi, and Adrian Weller. 2017. From parity to preference-based notions of fairness in classification. In Proceedings of the 31st International Conference on Neural Information Processing Systems (NIPS’17). Curran Associates Inc., Red Hook, NY, 228238."	274	hort	in-processing	constraints	
387	"Muhammad Bilal Zafar, Isabel Valera, Manuel Gomez Rogriguez, and Krishna P. Gummadi. 2017. Fairness constraints: mechanisms for fair classification. In Artificial Intelligence and statistics. PMLR, 962–970"	1446	hort	in-processing	constraints	
388	"Meike Zehlike, Philipp Hacker, and Emil Wiedemann. 2020. Matching code and law: Achieving algorithmic fairness with optimal transport. Data Min. Knowl. Discov. 34, 1 (2020), 163–200."	69	hort	pre-processing	representation	optimisation
389	"Vladimiro Zelaya, Paolo Missier, and Dennis Prangle. 2019. Parametrised data sampling for fairness optimisation. KDD XAI (2019)."	15	hort	pre-processing	sampling	sample
390	"Rich Zemel, Yu Wu, Kevin Swersky, Toni Pitassi, and Cynthia Dwork. 2013. Learning fair representations. In Proceedings of the International Conference on Machine Learning. 325–333."	2211	hort	pre-processing	representation	
391	"Xianli Zeng, Edgar Dobriban, and Guang Cheng. 2022. Bayes-optimal classifiers under group fairness. arXiv preprint arXiv:2202.09724(2022"	21	hort	post-processing	output	group_dependent
392	"Xianli Zeng, Edgar Dobriban, and Guang Cheng. 2022. Fair Bayes-optimal classifiers under predictive parity. arXiv preprint arXiv:2205.07182 (2022)."	17	hort	post-processing	output	group_dependent
393	"Brian Hu Zhang, Blake Lemoine, and Margaret Mitchell. 2018. Mitigating unwanted biases with adversarial learning. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. ACM, 335–340"	1619	hort	in-processing	adversarial	lr
394	"Hantian Zhang, Xu Chu, Abolfazl Asudeh, and Shamkant B. Navathe. 2021. OmniFair: A declarative system for model-agnostic group fairness in machine learning. In Proceedings of the International Conference on Management of Data. 2076–2088."	50	hort	in-processing	constraints	
395	Junzhe Zhang and Elias Bareinboim. 2018. Equality of opportunity in classification: A causal approach. In Proceedings of the 32nd International Conference on Neural Information Processing Systems. 3675–3685	107	hort	in-processing	constraints	
396	Junzhe Zhang and Elias Bareinboim. 2018. Fairness in decision-makingThe causal explanation formula. In Proceedings of the 32nd AAAI Conference on Artificial Intelligence.	340	hort	in-processing	constraints	
397	"Jiang Zhang, Ivan Beschastnikh, Sergey Mechtaev, and Abhik Roychoudhury. 2022. Fair decision making via automated repair of decision trees. In Proceedings of the International Workshop on Equitable Data and Technology (FairWare’22)."	6	hort	post-processing	classifier	decision_tree
398	"Jie M. Zhang, Mark Harman, Lei Ma, and Yang Liu. 2020. Machine learning testing: Survey, landscapes and horizons. IEEE Transactions on Software Engineering 48, 1 (2020), 1–36."	963	hort			
399	"Lu Zhang, Yongkai Wu, and Xintao Wu. 2017. A causal framework for discovering and removing direct and indirect discrimination. In Proceedings of the 26th International Joint Conference on Artificial Intelligence. 3929–3935."	217	hort	pre-processing	sampling	generative
400	"Lu Zhang, Yongkai Wu, and Xintao Wu. 2018. Achieving non-discrimination in prediction. In Proceedings of the 27th International Joint Conference on Artificial Intelligence (IJCAI’18). AAAI Press, 30973103"	42	hort	post-processing	output	massaging
401	"Wenbin Zhang, Albert Bifet, Xiangliang Zhang, Jeremy C. Weiss, and Wolfgang Nejdl. 2021. FARF: A fair and adaptive random forests classifier. In Proceedings of the 25th Pacific-Asia Conference on Advances in Knowledge Discovery and Data Mining (PAKDD’21). 245–256."	61	hort	in-processing	adjusted	downsampling
402	Wenbin Zhang and Eirini Ntoutsi. 2019. FAHT: An adaptive fairness-aware decision tree classifier. In Proceedings of the 28th International Joint Conference on Artificial Intelligence. 1480–1486	118	hort	in-processing	regularisation	decision_tree
403	"Wenbin Zhang, Xuejiao Tang, and Jianwu Wang. 2019. On fairness-aware learning for non-discriminative decision-making. In Proceedings of the International Conference on Data Mining Workshops (ICDMW’19). IEEE, 1072–1079."	27	hort	in-processing	regularisation	decision_tree
404	"Wenbin Zhang and Jeremy C. Weiss. 2021. Fair decision-making under uncertainty. In Proceedings of the IEEE International Conference on Data Mining (ICDM’21). IEEE, 886–895"	49	hort	in-processing	regularisation	decision_tree
405	"Wenbin Zhang and Jeremy C. Weiss. 2022. Longitudinal fairness with censorship. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 36. 12235–12243"	56	hort	in-processing	regularisation	decision_tree
406	"Wenbin Zhang, Jeremy C. Weiss, Shuigeng Zhou, and Toby Walsh. 2022. Fairness amidst non-IID graph data: A literature review. arXiv preprint arXiv:2202.07170 (2022"	33	hort			
407	"Xueru Zhang and Mingyan Liu. 2021. Fairness in learning-based sequential decision algorithms: A survey. In Handbook of Reinforcement Learning and Control. Springer, 525–555"	61	hort			
408	Yue Zhang and Arti Ramesh. 2020. Learning fairness-aware relational structures. arXiv preprint arXiv:2002.09471 (2020	13	hort	in-processing	adjusted	markov
409	"Chen Zhao, Feng Chen, and Bhavani Thuraisingham. 2021. Fairness-aware online meta-learning. In Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery & Data Mining. 2294–2304."	34	hort	in-processing	constraints	
410	"Chen Zhao, Feng Mi, Xintao Wu, Kai Jiang, Latifur Khan, and Feng Chen. 2022. Adaptive fairness-aware online meta-learning for changing environments. arXiv preprint arXiv:2205.11264 (2022"	20	hort	in-processing	adjusted	
411	"Han Zhao, Amanda Coston, Tameem Adel, and Geoffrey J. Gordon. 2020. Conditional learning of fair representations. In Proceedings of the International Conference on Learning Representations. Retrieved from https://openreview.net/forum?id=Hkekl0NFPr"	124	hort	pre-processing	representation	adversarial
412	Han Zhao and Geoff Gordon. 2019. Inherent tradeoffs in learning fair representations. Adv. Neural Inf. Process. Syst. 32 (2019).	245	hort	in-processing	adversarial	
413	"Jieyu Zhao, Yichao Zhou, Zeyu Li, Wei Wang, and Kai-Wei Chang. 2018. Learning gender-neutral word embeddings. Proceedings of the Conference on Empirical Methods in Natural Language Processing (EMNLP’18).4847–4853"	484	hort			
414	"Tianxiang Zhao, Enyan Dai, Kai Shu, and Suhang Wang. 2021. You can still achieve fairness without sensitive attributes: Exploring biases in non-sensitive features. arXiv preprint arXiv:2104.14537 (2021)."	23	hort	in-processing	regularisation	
415	"Tianxiang Zhao, Enyan Dai, Kai Shu, and Suhang Wang. 2022. Towards fair classifiers without sensitive attributes: Exploring biases in related features. In Proceedings of the 15th ACM International Conference on Web Search and Data Mining. 1433–1442."	61	hort	in-processing	regularisation	
416	"Wei Zhu, Haitian Zheng, Haofu Liao, Weijian Li, and Jiebo Luo. 2021. Learning bias-invariant representation by cross-sample mutual information minimization. In Proceedings of the IEEE/CVF International Conference on Computer Vision. 15002–15012"	44	hort	pre-processing	representation	adversarial
417	Indre Žliobaite. 2015. A survey on measuring indirect discrimination in machine learning. arXiv preprint arXiv:1511.00148 (2015	2	hort			
418	"Indre Žliobaite, Faisal Kamiran, and Toon Calders. 2011. Handling conditional discrimination. In Proceedings of the IEEE 11th International Conference on Data Mining. IEEE, 992–1001."	182	hort	pre-processing	sampling	sample
